_id,issue_type,priority,components
58bfcad80ccb2667fe26a2c2,Bug,Major,"['java client', 'tests', 'server']"
58bfcada0ccb2667fe26a2ec,Improvement,Major,['build']
58bfcadb0ccb2667fe26a2fd,Bug,Major,['leaderElection']
58bfcadd0ccb2667fe26a32f,Bug,Major,[]
58bfcade0ccb2667fe26a33f,Bug,Major,['server']
58bfcae30ccb2667fe26a3a8,Bug,Major,['leaderElection']
58bfcae50ccb2667fe26a3ce,Improvement,Major,['leaderElection']
58bfcae60ccb2667fe26a3df,Bug,Major,['c client']
58bfcae70ccb2667fe26a3fc,Bug,Major,['c client']
58bfcaea0ccb2667fe26a42e,Bug,Major,[]
58bfcaeb0ccb2667fe26a443,Bug,Blocker,[]
58bfcaef0ccb2667fe26a491,Sub-task,Major,['documentation']
58bfcaf00ccb2667fe26a4a0,Task,Major,['documentation']
58bfcaf10ccb2667fe26a4ca,Task,Major,['documentation']
58bfcaf30ccb2667fe26a4ea,Sub-task,Major,[]
58bfcaf40ccb2667fe26a4f7,Bug,Minor,['server']
58bfcaf60ccb2667fe26a51b,Bug,Major,['documentation']
58bfcaf70ccb2667fe26a529,Improvement,Blocker,['documentation']
58bfcaf80ccb2667fe26a544,Bug,Minor,"['java client', 'documentation']"
58bfcafb0ccb2667fe26a56a,Bug,Minor,['documentation']
58bfcafc0ccb2667fe26a576,Improvement,Blocker,[]
58bfcafe0ccb2667fe26a59f,Bug,Major,['server']
58bfcaff0ccb2667fe26a5b0,Improvement,Major,['java client']
58bfcb010ccb2667fe26a5d4,Improvement,Major,['c client']
58bfcb050ccb2667fe26a633,Bug,Major,['java client']
58c8d8d81cf3f06cf158fc6b,Improvement,Minor,['Core']
58c8d8e91cf3f06cf158fcb8,Bug,Trivial,['Ant']
58c8d8ea1cf3f06cf158fcbc,New Feature,Major,[]
58c8d8f41cf3f06cf158fd06,Improvement,Major,[]
58c8d8ff1cf3f06cf158fd5c,Bug,Major,['Core']
58c8d9011cf3f06cf158fd67,Bug,Major,['Ant']
58c8d9021cf3f06cf158fd6d,Bug,Major,['Core']
58c8d9171cf3f06cf158fe00,Bug,Major,['Ant']
58c8d95d1cf3f06cf158fff0,Improvement,Minor,['Core']
58c8d9991cf3f06cf15901da,Improvement,Minor,['Core']
58c8dab21cf3f06cf1590a71,New Feature,Major,['Core']
58c8db121cf3f06cf1590ec0,Bug,Major,['Core']
58c8dba61cf3f06cf1591571,Wish,Minor,['Core']
58c8dba71cf3f06cf1591580,Improvement,Critical,['Ant']
58c8dbaa1cf3f06cf159159a,Bug,Blocker,"['Ant', 'Core']"
58c8dbab1cf3f06cf15915a2,Bug,Major,[]
58c8dbaf1cf3f06cf15915cc,Bug,Major,['Core']
58c8dbb01cf3f06cf15915d1,Bug,Major,['Core']
58c8dbb31cf3f06cf15915e2,Bug,Major,['Core']
58c8dbb41cf3f06cf15915ea,Bug,Minor,[]
58c8dbb61cf3f06cf15915f8,Improvement,Major,[]
58c8dbb81cf3f06cf159160b,Wish,Major,"['Ant', 'Core']"
58c8dbbe1cf3f06cf1591674,Improvement,Major,['Ant']
58c8dbbf1cf3f06cf1591680,Bug,Major,[]
58c8dbc21cf3f06cf15916a3,Improvement,Major,[]
58c8dbc41cf3f06cf15916c2,Bug,Major,['Core']
58c8dbc51cf3f06cf15916d5,Bug,Major,"['Ant', 'Core']"
58c8dbc61cf3f06cf15916e7,Bug,Minor,['Ant']
58c8dbcd1cf3f06cf159173d,Bug,Major,[]
58c8dbcf1cf3f06cf1591744,Bug,Major,['Core']
58c8dbd11cf3f06cf159174e,New Feature,Major,['Core']
58c8dbd31cf3f06cf1591755,Bug,Major,['Core']
58bfd3480ccb2667fe276567,Sub-task,Major,"['jute', 'c client', 'java client', 'server']"
58bfd3520ccb2667fe27667b,Bug,Critical,['c client']
58bfd35d0ccb2667fe276786,Bug,Major,['server']
58bfd3650ccb2667fe276881,Bug,Major,[]
58bfd36a0ccb2667fe276959,Improvement,Minor,[]
58bfd3720ccb2667fe276a27,Bug,Critical,['server']
58bfd37a0ccb2667fe276b1e,Improvement,Blocker,"['java client', 'server']"
58bfd3800ccb2667fe276bd1,Improvement,Minor,['c client']
58bfd38a0ccb2667fe276d36,Sub-task,Minor,['java client']
58bfd3940ccb2667fe276ee3,Bug,Minor,['server']
58bfd39e0ccb2667fe2770e8,Bug,Major,['build']
58bfd3a40ccb2667fe277221,Test,Major,['tests']
58bfd3b60ccb2667fe277481,Bug,Critical,['server']
58bfd3c50ccb2667fe277605,Improvement,Major,"['leaderElection', 'quorum']"
58bfd3cb0ccb2667fe2776e6,Bug,Major,['java client']
58bfd3d50ccb2667fe2777c9,Bug,Minor,['server']
58c8dbd51cf3f06cf1591760,Bug,Major,['Core']
58c8dbd81cf3f06cf1591764,Improvement,Minor,[]
58c8dbda1cf3f06cf159176f,Bug,Trivial,['Documentation']
58c8dbde1cf3f06cf15917a6,Bug,Trivial,['Ant']
58c8dbdf1cf3f06cf15917b5,Improvement,Major,['Core']
58c8dbe11cf3f06cf15917c8,Bug,Major,['Core']
58c8dbe41cf3f06cf15917f6,Bug,Major,['Maven Compatibility']
58c8dbe41cf3f06cf1591802,Bug,Critical,['Maven Compatibility']
58c8dbe61cf3f06cf1591819,Improvement,Major,['Ant']
58c8dbe81cf3f06cf1591830,New Feature,Minor,['Ant']
58c8dbeb1cf3f06cf159184b,Bug,Major,['Core']
