issue_id,created_at_x,new_value_x,created_at_y,new_value_y
58bfd04f0ccb2667fe271dec,2014-03-13 18:16:54.784,Closed,2013-05-10 23:03:04.867,Open
58bfcf6a0ccb2667fe2707f9,2014-03-13 18:17:11.475,Closed,2013-05-10 20:58:09.747,Open
58bfcf6a0ccb2667fe2707f9,2014-03-13 18:17:11.475,Closed,2013-05-09 09:46:04.097,Open
58bfd1010ccb2667fe272f5e,2014-03-13 18:17:04.608,Closed,2013-03-14 09:04:31.311,Open
58bfd1010ccb2667fe272f5e,2014-03-13 18:17:04.608,Closed,2013-05-31 09:12:54.518,Open
58bfd0410ccb2667fe271c76,2014-03-13 18:17:14.755,Closed,2013-10-26 18:03:18.405,Open
58bfd0410ccb2667fe271c76,2014-03-13 18:17:14.755,Closed,2013-10-04 03:13:38.047,Open
58bfd0410ccb2667fe271c76,2014-03-13 18:17:14.755,Closed,2012-05-02 04:49:48.297,Open
58bfcf470ccb2667fe2702d9,2014-03-13 18:16:55.671,Closed,2013-12-19 03:39:27.450,Open
58bfcf5b0ccb2667fe2705e0,2014-03-13 18:16:59.497,Closed,2012-03-19 06:36:41.912,Open
58bfce8e0ccb2667fe26f21e,2014-03-13 18:17:02.153,Closed,2013-05-13 23:57:28.076,Open
58bfce8e0ccb2667fe26f21e,2014-03-13 18:17:02.153,Closed,2013-05-03 08:16:41.453,Open
58bfce8e0ccb2667fe26f21e,2014-03-13 18:17:02.153,Closed,2013-01-08 13:41:14.775,Open
58bfce8e0ccb2667fe26f21e,2014-03-13 18:17:02.153,Closed,2013-04-22 21:17:08.524,Open
58bfcf7f0ccb2667fe270b49,2014-03-13 18:17:08.867,Closed,2013-09-05 21:03:35.277,Open
58bfcf7f0ccb2667fe270b49,2014-03-13 18:17:08.867,Closed,2012-06-29 18:23:17.419,Open
58bfcf7f0ccb2667fe270b49,2014-03-13 18:17:08.867,Closed,2012-04-26 17:24:53.635,Open
58bfcf860ccb2667fe270c31,2014-03-13 18:17:10.804,Closed,2013-09-07 20:25:58.849,Open
58bfcf860ccb2667fe270c31,2014-03-13 18:17:10.804,Closed,2013-09-07 11:30:58.068,Open
58bfd16e0ccb2667fe27378f,2014-03-13 18:17:13.533,Closed,2013-11-21 15:45:41.705,Open
58bfd16e0ccb2667fe27378f,2014-03-13 18:17:13.533,Closed,2013-11-15 08:11:00.102,Open
58bfd16e0ccb2667fe27378f,2014-03-13 18:17:13.533,Closed,2013-03-22 22:35:59.883,Open
58bfd16e0ccb2667fe27378f,2014-03-13 18:17:13.533,Closed,2013-03-22 21:45:31.543,Open
58bfd16e0ccb2667fe27378f,2014-03-13 18:17:13.533,Closed,2013-04-19 20:01:11.417,Open
58bfd27f0ccb2667fe275075,2016-07-21 20:18:21.042,Closed,2015-08-20 08:24:20.937,Open
58bfd27f0ccb2667fe275075,2016-07-21 20:18:21.042,Closed,2015-08-24 03:32:52.716,Open
58bfd27f0ccb2667fe275075,2016-07-21 20:18:21.042,Closed,2015-08-22 04:27:50.292,Open
58bfd27f0ccb2667fe275075,2016-07-21 20:18:21.042,Closed,2015-08-25 00:56:40.151,Open
58bfd2a00ccb2667fe2754c7,2016-07-21 20:18:31.457,Closed,2015-10-26 18:16:07.151,Open
